,Celular,Marca,cor,Ram,Hd,num_ship,Valor_real
151,Samsung Galaxy A01 Dual Sim  Preto 2Gb,Samsung,32Gb,['2gb Ram'],['32gb'],['2'],739
152,Samsung Galaxy A71 Tela 6.7  6Gb Ram,Samsung,128Gb,['6gb Ram'],['128gb'],['1'],2.899
153,Redmi Note 8  Moonlight White +Capa+,Samsung,White,['4 Gb Ram'],['64 Gb'],['1'],1.441
154,Samsung Galaxy A31 Tela 6.4  4Gb Ram,Samsung,128Gb,['4gb Ram'],['128gb'],['1'],1.540
155,Samsung Galaxy A21S Tela 6.5  4Gb Ram,Samsung,64Gb,['4gb Ram'],['64gb'],['1'],1.899
156,"Nokia C2 Nk011  ( +  Cartão) Tela 5,7",Nokia,16Gb,[],"['32gb', '16gb', '16gb']",['1'],629
157,Samsung Galaxy A10S Tela De 6.2  2Gb,Samsung,6.2,['2gb Ram'],['32gb'],['1'],840
158,Redmi Note 8  4Gb Ram Versão Global +,Samsung,Versão,['4gb Ram'],['64gb'],['1'],1.269
159,Multilaser E Lite Dual-Chip Android 8.1  Preto,Multilaser,Android,[],['32gb'],['1'],429
160,Xiaomi Redmi 9  + 4Gb Ram Versão,Xiaomi,4Gb,['4gb Ram'],['64gb'],['1'],1.088
161,Note 9S -  - Azul - 6Gb Ram - Versão,Xiaomi,Ram,['6gb Ram'],['128gb'],['1'],1.719
162,"Lg K22 Tela 6,2  2Gb Ram Android",Lg,2Gb,['2gb Ram'],['32gb'],['1'],999
163,Samsung Galaxy A01 Core Dual  2Gb Ram,Samsung,32Gb,['2gb Ram'],['32gb'],['1'],677
164,"Lg K41S 4G Tela 6,55  3Gb Ram Android",Lg,3Gb,['3gb Ram'],['32gb'],['1'],999
165,Samsung Galaxy M31 Tela 6.4  6Gb Ram -,Samsung,6Gb,['6gb Ram'],['128gb'],['1'],1.799
166,Samsung Galaxy A01  2Gb Ram Tela 5.7,Samsung,Ram,['2gb Ram'],['32gb'],['1'],729
167,Samsung Galaxy A10S Dual 6.2  4G  A107,Samsung,4G,[],['32gb'],['1'],848
168,Samsung Galaxy A31 Tela 6.4  4Gb Ram,Samsung,128Gb,['4gb Ram'],['128gb'],['1'],1.649
169,3 Obabox O Novo Smartphone Para A 3º Idade,Samsung,A,[],[],['1'],997
170,Nokia 110 Preto Rádio Fm E Leitor Mp3 -,Nokia,Leitor,[],[],['1'],151
171,Xiaomi Note 8  4Gb Versão Global+Capa+,Xiaomi,64Gb,[],['64gb'],['1'],1.419
172,"Lg K52 4G Tela 6,59  3Gb Ram",Lg,Gb,['3gb Ram'],['64 Gb'],['1'],1.199
173,Redmi 9 Dual Sim  Carbon,Lg,Grey,['4 Gb Ram'],['64 Gb'],['2'],1.169
174,"Nokia C2 Nk010 Tl 5,7  (16+16 Cartão) 1Gb",Nokia,(16+16,['1gb Ram'],['32gb'],['1'],639
175,"Lg K22 Plus Tela 6,2  3Gb Ram Quad-Core",Lg,3Gb,['3gb Ram'],['64gb'],['1'],1.099
176,"Lg K61 4G Tela 6,53  4Gb Ram Android",Lg,4Gb,['4gb Ram'],['128gb'],['1'],1.360
177,"Samsung Galaxy A71  64Mp 6,7 6Gb Octa",Samsung,"6,7",[],['128gb'],['1'],2.099
178,Samsung Galaxy A21S Dual Sim,Samsung,Azul,['4 Gb Ram'],['64 Gb'],['2'],1.449
179,Poco X3 Nfc Dual Sim  Shadow,Samsung,Gray,['6 Gb Ram'],['64 Gb'],['2'],1.678
180,Idosos Internet E Whatsapp Oba Smart 3 Gold,Idosos,Smart,[],[],['1'],997
181,Flip  Idosos 2 Chips Radio Fm Camera,Flip,Radio,[],[],['1'],118
182,Xiaomi Poco M3  6000 Mah + Capa +,Xiaomi,+,[],['64gb'],['1'],1.216
183,Motorola Moto G9 Power Dual  4Gb Ram,Motorola,128Gb,['4gb Ram'],['128gb'],['1'],1.699
184,Galaxy Xcover Pro,Motorola,Preto,['4 GB RAM'],['64 GB'],['2'],1.490
185,"Smartphone Multilaser F P9130  Biometria 5,5",Multilaser,P9130,[],['32gb'],['1'],529
186,Samsung Galaxy A11 Dual 6.4   3Gb Ram,Samsung,64Gb,['3gb Ram'],['64gb'],['1'],1.298
187,Vita Iv Com Base,Samsung,Base,[],[],['2'],165
188,Galaxy S10E   Prism,Samsung,Black,['6 GB RAM'],['128 GB'],['1'],2.699
189,Lg G360 Dual Sim,Lg,G360,[],[],['2'],248
190,Redmi Note 9 Branco Polar  - 4Gb Ram +,Lg,-,['4gb Ram'],['128gb'],['1'],1.530
191,Do Idoso Dual Chip Whatsapp Facebook Teclas,Do,Whatsapp,[],[],['1'],279
192,3 Gold Obabox Smartphone Para A Terceira,Do,Para,[],[],['1'],997
